주소,재해유형,점수,Latitude,Longitude
전주시 덕진구 진기길 47,침수위험,4,35.8892982,127.0947639
전주시 덕진구 어은로 127,침수위험,4,35.8240879,127.1294805
전북 전주시 덕진구 감수길 35,침수위험,4,35.8655321,127.1002971
전라북도 전주시 덕진구 송천동2가 417,침수위험,3,35.8709354,127.1192857
전라북도 전주시 완산구 중인동 207-3,침수위험,3,35.7749385,127.1021206
전라북도 전주시 덕진구 금상동 1280-4,침수위험,3,35.8471671,127.184255
전라북도 전주시 덕진구 호성동2가 78-4,침수위험,3,35.8759696,127.1535655
전라북도 전주시 완산구 대성동 1030-79,침수위험,3,35.8013083,127.1700058
전주시 완산구 평화14길 28-12,싱크홀,2,35.7932629,127.1350594
전주시 완산구 팔달로 262-6,싱크홀,2,35.8252987,127.144834
전주시 완산구 삼천동 안행로 13번지,싱크홀,2,35.8002583,127.1299839
덕진구송천동2가1035번지,싱크홀발생예상,1,35.8758666,127.1041991
덕진구중동로150,싱크홀발생예상,1,35.8329444,127.0621134
완산구원당동814-3,싱크홀발생예상,1,35.7528419,127.1153853
덕진구우아동1가477-1,싱크홀발생예상,1,35.8153424,127.1920667
덕진구금상동90-4,싱크홀발생예상,1,35.8489264,127.2012877
덕진구금상동261,싱크홀발생예상,1,35.8517494,127.1991305
덕진구금산동607-3,싱크홀발생예상,1,35.8542636,127.1893913
덕진구산정동133,싱크홀발생예상,1,35.8509349,127.1747963
덕진구호성동3가283-1,싱크홀발생예상,1,35.8838879,127.1357785
덕진구도도동5-41,싱크홀발생예상,1,35.8840974,127.0181846
덕진구남정동632-3,싱크홀발생예상,1,35.8755544,127.0256454
전북 전주시 완산구 매곡로 22 ,산사태취약지역,2,35.8102548,127.1435513
전북 전주시 완산구 고덕산1길 20 ,산사태취약지역,2,35.7975438,127.1777827
전북 전주시 완산구 관선5길 15 ,산사태취약지역,2,35.821542,127.1583634
전북 전주시 덕진구 기린대로 538,산사태취약지역,2,35.8461776,127.1207617
